Epoch,Batch,Iteration,Training_Accuracy,Validation_Accuracy,Weighted_Training_Accuracy,Unsupervised_Loss,Supervised_Loss
1.0,1.0,0.0,87.5,,87.5,0.6389474272727966,0.7597821950912476
1.0,2.0,1.0,78.125,,82.8125,0.5494136214256287,1.001112699508667
1.0,3.0,2.0,68.75,,78.125,0.5760270357131958,1.0768990516662598
1.0,4.0,3.0,71.875,,76.5625,0.5079342126846313,0.8912653923034668
1.0,5.0,4.0,75.0,,76.25,0.5162514448165894,1.0422273874282837
1.0,6.0,5.0,53.125,,72.39583333333333,0.5961031913757324,1.0322299003601074
1.0,7.0,6.0,78.125,,73.21428571428571,0.5225242972373962,1.0000911951065063
1.0,8.0,7.0,75.0,,73.4375,0.47371336817741394,1.454716682434082
1.0,9.0,8.0,62.5,,72.22222222222223,0.4563845098018646,1.141817569732666
1.0,10.0,9.0,71.875,,72.1875,0.4304332733154297,0.8883949518203735
1.0,11.0,10.0,56.25,,70.73863636363636,0.5245577096939087,1.0010714530944824
1.0,12.0,11.0,81.25,,71.61458333333333,0.44068408012390137,0.65172278881073
1.0,13.0,12.0,62.5,,70.91346153846153,0.3860686719417572,1.0113201141357422
1.0,14.0,13.0,65.625,,70.53571428571428,0.47393548488616943,1.2702420949935913
1.0,15.0,14.0,59.375,,69.79166666666667,0.4728507697582245,1.3024885654449463
1.0,16.0,15.0,65.625,,69.53125,0.4563552737236023,0.9988524913787842
1.0,17.0,16.0,75.0,,69.8529411764706,0.43292832374572754,1.0429651737213135
1.0,18.0,17.0,68.75,,69.79166666666667,0.41415250301361084,0.9868260622024536
1.0,19.0,18.0,65.625,,69.57236842105263,0.37743818759918213,1.014885663986206
1.0,20.0,19.0,78.125,,70.0,0.4355008006095886,1.0394775867462158
1.0,21.0,20.0,65.625,,69.79166666666667,0.4075990915298462,1.2856545448303223
1.0,22.0,21.0,68.75,,69.74431818181819,0.4090743064880371,0.9435075521469116
1.0,23.0,22.0,62.5,,69.42934782608695,0.4113404154777527,1.0189151763916016
1.0,24.0,23.0,68.75,,69.40104166666667,0.4281598925590515,1.0703563690185547
1.0,25.0,24.0,68.75,,69.375,0.4013206660747528,1.1386271715164185
1.0,26.0,25.0,62.5,,69.11057692307692,0.4217418134212494,0.8850384950637817
1.0,27.0,26.0,59.375,,68.75,0.4047393202781677,0.9746948480606079
1.0,28.0,27.0,53.125,,68.19196428571429,0.3687220811843872,1.3151136636734009
1.0,29.0,28.0,81.25,,68.64224137931035,0.4203760623931885,0.9070453643798828
1.0,30.0,29.0,81.25,,69.0625,0.3749663829803467,0.9552780389785767
1.0,31.0,30.0,68.75,,69.0524193548387,0.3992574214935303,1.4125560522079468
1.0,32.0,31.0,71.875,,69.140625,0.3702552020549774,1.2016724348068237
1.0,33.0,32.0,81.25,,69.50757575757575,0.3554246723651886,1.1074788570404053
1.0,34.0,33.0,71.875,,69.57720588235294,0.3910776376724243,1.2461031675338745
1.0,35.0,34.0,62.5,,69.375,0.352437824010849,0.9898192286491394
1.0,36.0,35.0,68.75,,69.35763888888889,0.3887901306152344,1.2888829708099365
1.0,37.0,36.0,53.125,,68.91891891891892,0.3694421947002411,0.9465226531028748
1.0,38.0,37.0,71.875,,68.9967105263158,0.3236237168312073,1.0537844896316528
1.0,39.0,38.0,75.0,,69.15064102564102,0.31196948885917664,0.9134106040000916
1.0,40.0,39.0,81.25,,69.453125,0.346714586019516,1.0173604488372803
1.0,41.0,40.0,62.5,,69.28353658536585,0.34064629673957825,1.36515212059021
1.0,42.0,41.0,62.5,,69.12202380952381,0.3265499472618103,1.1325161457061768
1.0,43.0,42.0,59.375,,68.8953488372093,0.3144463896751404,1.0647151470184326
1.0,44.0,43.0,81.25,,69.17613636363636,0.3064610958099365,0.8159544467926025
1.0,45.0,44.0,75.0,,69.30555555555556,0.34763389825820923,1.0721135139465332
1.0,46.0,45.0,81.25,,69.56521739130434,0.3257582187652588,0.9441002607345581
1.0,47.0,46.0,62.5,,69.41489361702128,0.3025849461555481,1.1901735067367554
1.0,48.0,47.0,65.625,,69.3359375,0.3419676423072815,0.988676905632019
1.0,49.0,48.0,50.0,,68.94132653061224,0.3490484654903412,1.3188377618789673
1.0,50.0,49.0,68.75,,68.9375,0.38198238611221313,0.9730604290962219
1.0,51.0,50.0,71.875,,68.99509803921569,0.32091036438941956,1.1901555061340332
1.0,52.0,51.0,68.75,,68.99038461538461,0.3518712818622589,1.0840530395507812
1.0,53.0,52.0,68.75,,68.98584905660377,0.30507147312164307,1.0445908308029175
1.0,54.0,53.0,81.25,,69.21296296296295,0.31972619891166687,0.9586820602416992
1.0,55.0,54.0,56.25,,68.9772727272727,0.35047465562820435,1.1259316205978394
1.0,56.0,55.0,75.0,,69.0848214285714,0.3562447130680084,0.9993605017662048
1.0,57.0,56.0,59.375,,68.9144736842105,0.36664965748786926,0.9986513257026672
1.0,58.0,57.0,68.75,,68.91163793103446,0.3882067799568176,1.0760102272033691
1.0,59.0,58.0,68.75,,68.90889830508472,0.38073039054870605,1.2814390659332275
1.0,60.0,59.0,78.125,,69.06249999999997,0.3792251646518707,1.0474450588226318
1.0,61.0,60.0,56.25,,68.85245901639341,0.3212575912475586,1.2241895198822021
1.0,62.0,61.0,71.875,,68.90120967741933,0.34741896390914917,1.3147711753845215
1.0,63.0,62.0,71.875,,68.94841269841267,0.30017879605293274,1.0257251262664795
1.0,64.0,63.0,65.625,,68.89648437499997,0.3250701129436493,1.0522019863128662
1.0,65.0,64.0,78.125,,69.0384615384615,0.3305418789386749,1.0545990467071533
1.0,66.0,65.0,71.875,,69.08143939393936,0.3355969488620758,0.9272034168243408
1.0,67.0,66.0,81.25,,69.26305970149251,0.34697291254997253,0.9232670068740845
1.0,68.0,67.0,62.5,,69.16360294117645,0.3674413561820984,1.097133755683899
1.0,69.0,68.0,68.75,,69.15760869565214,0.35391417145729065,1.0858283042907715
1.0,70.0,69.0,59.375,,69.01785714285711,0.28729331493377686,1.1852772235870361
1.0,71.0,70.0,87.5,,69.27816901408448,0.2905159592628479,1.2200396060943604
1.0,72.0,71.0,68.75,,69.27083333333331,0.32430240511894226,1.0938764810562134
1.0,73.0,72.0,68.75,,69.26369863013696,0.2959986627101898,1.172911524772644
1.0,74.0,73.0,71.875,,69.29898648648646,0.3337475061416626,1.20487380027771
1.0,75.0,74.0,53.125,,69.08333333333331,0.2913497984409332,1.255340337753296
1.0,76.0,75.0,78.125,,69.20230263157892,0.3470897674560547,1.0673331022262573
1.0,77.0,76.0,50.0,,68.95292207792204,0.3002013862133026,1.2848224639892578
1.0,78.0,77.0,59.375,,68.83012820512818,0.3629356920719147,1.2853965759277344
1.0,79.0,78.0,71.875,,68.86867088607593,0.30151763558387756,1.2113893032073975
1.0,80.0,79.0,84.375,,69.06249999999999,0.3220686912536621,1.089849591255188
1.0,81.0,80.0,71.875,,69.09722222222221,0.3285556435585022,1.0430920124053955
1.0,82.0,81.0,65.625,,69.05487804878048,0.3328036069869995,1.0889663696289062
1.0,83.0,82.0,62.5,,68.97590361445782,0.31134653091430664,1.1782792806625366
1.0,84.0,83.0,59.375,,68.86160714285714,0.3550102114677429,1.2072246074676514
1.0,85.0,84.0,75.0,,68.93382352941177,0.33569303154945374,1.0433759689331055
1.0,86.0,85.0,68.75,,68.93168604651163,0.30842119455337524,1.1450858116149902
1.0,87.0,86.0,68.75,,68.92959770114942,0.3059249818325043,1.0403015613555908
1.0,88.0,87.0,78.125,,69.03409090909089,0.32239657640457153,1.1025311946868896
1.0,89.0,88.0,62.5,,68.96067415730334,0.3006588816642761,1.0571134090423584
1.0,90.0,89.0,75.0,,69.02777777777774,0.3280341625213623,1.1110198497772217
1.0,91.0,90.0,78.125,,69.12774725274723,0.3135574162006378,0.9169445037841797
1.0,92.0,91.0,59.375,,69.02173913043475,0.30892637372016907,1.2653971910476685
1.0,93.0,92.0,62.5,,68.95161290322578,0.30474358797073364,1.0336849689483643
1.0,94.0,93.0,68.75,,68.94946808510636,0.32958561182022095,1.1098864078521729
1.0,95.0,94.0,78.125,,69.04605263157893,0.29045096039772034,0.97376549243927
1.0,96.0,95.0,65.625,,69.01041666666664,0.32487621903419495,1.1546587944030762
1.0,97.0,96.0,75.0,,69.07216494845359,0.3182132840156555,0.9032192230224609
1.0,98.0,97.0,68.75,,69.06887755102039,0.3274253308773041,1.004939317703247
1.0,99.0,98.0,78.125,,69.16035353535352,0.3113361597061157,0.9393322467803955
1.0,100.0,99.0,59.375,,69.06249999999999,0.354177862405777,1.1197770833969116
1.0,101.0,100.0,65.625,,69.02846534653463,0.3158593475818634,0.9843361973762512
1.0,102.0,101.0,68.75,,69.02573529411762,0.32830971479415894,0.8566489219665527
1.0,103.0,102.0,78.125,,69.11407766990288,0.30941203236579895,0.9476745128631592
1.0,104.0,103.0,65.625,,69.08052884615383,0.34514954686164856,1.0313793420791626
1.0,105.0,104.0,75.0,,69.13690476190474,0.3588463366031647,1.0786594152450562
1.0,106.0,105.0,75.0,,69.19221698113206,0.2868138551712036,1.2202073335647583
1.0,107.0,106.0,59.375,,69.10046728971962,0.3244936168193817,0.9899401664733887
1.0,108.0,107.0,65.625,,69.06828703703702,0.2970798909664154,1.1736373901367188
1.0,109.0,108.0,68.75,,69.06536697247705,0.31935298442840576,1.1133776903152466
1.0,110.0,109.0,50.0,,68.89204545454544,0.31393226981163025,1.2611417770385742
1.0,111.0,110.0,68.75,,68.89076576576575,0.32051342725753784,0.9438941478729248
1.0,112.0,111.0,71.875,,68.9174107142857,0.2762996554374695,1.275193691253662
1.0,113.0,112.0,68.75,,68.9159292035398,0.34537583589553833,1.0135695934295654
1.0,114.0,113.0,62.5,,68.859649122807,0.28916001319885254,1.1482714414596558
1.0,115.0,114.0,68.75,,68.85869565217389,0.33814266324043274,1.3602032661437988
1.0,116.0,115.0,71.875,,68.88469827586205,0.3479856252670288,1.3012120723724365
1.0,117.0,116.0,75.0,,68.93696581196579,0.30179744958877563,0.9776982069015503
1.0,118.0,117.0,75.0,,68.9883474576271,0.3206197917461395,1.1161067485809326
1.0,119.0,118.0,84.375,,69.11764705882351,0.30293577909469604,0.8515586853027344
1.0,120.0,119.0,56.25,,69.01041666666666,0.315814733505249,1.0390303134918213
1.0,121.0,120.0,75.0,,69.05991735537188,0.31518974900245667,0.9142369627952576
1.0,122.0,121.0,68.75,,69.05737704918032,0.2844889461994171,0.9433408975601196
1.0,123.0,122.0,71.875,,69.08028455284551,0.3384750783443451,1.206093192100525
1.0,124.0,123.0,71.875,,69.10282258064515,0.32060930132865906,1.1142704486846924
1.0,125.0,124.0,65.625,,69.07499999999999,0.3384583294391632,1.0940567255020142
1.0,125.0,125.0,65.625,57.5,69.0474,0.3384583294391632,1.0940567255020142
2.0,1.0,126.0,71.875,,71.875,0.3449096977710724,0.9750951528549194
