223 unlabelled training bactches, 94 labelled batches. Will reuse samples to match batch numbers
Epoch 1, train accuracy:0.00%, batch: 1/223
Epoch 1, train accuracy:0.00%, batch: 2/223
Epoch 1, train accuracy:0.00%, batch: 3/223
Epoch 1, train accuracy:0.00%, batch: 4/223
Epoch 1, train accuracy:0.00%, batch: 5/223
Epoch 1, train accuracy:0.52%, batch: 6/223
Epoch 1, train accuracy:0.89%, batch: 7/223
Epoch 1, train accuracy:1.17%, batch: 8/223
Epoch 1, train accuracy:1.39%, batch: 9/223
Epoch 1, train accuracy:1.56%, batch: 10/223
Epoch 1, train accuracy:1.70%, batch: 11/223
Epoch 1, train accuracy:1.82%, batch: 12/223
Epoch 1, train accuracy:1.92%, batch: 13/223
Epoch 1, train accuracy:2.01%, batch: 14/223
Epoch 1, train accuracy:2.08%, batch: 15/223
Epoch 1, train accuracy:2.15%, batch: 16/223
Epoch 1, train accuracy:2.21%, batch: 17/223
Epoch 1, train accuracy:2.26%, batch: 18/223
Epoch 1, train accuracy:2.30%, batch: 19/223
Epoch 1, train accuracy:2.34%, batch: 20/223
Epoch 1, train accuracy:2.38%, batch: 21/223
Epoch 1, train accuracy:2.41%, batch: 22/223
Epoch 1, train accuracy:2.45%, batch: 23/223
Epoch 1, train accuracy:2.47%, batch: 24/223
Epoch 1, train accuracy:2.62%, batch: 25/223
Epoch 1, train accuracy:2.76%, batch: 26/223
Epoch 1, train accuracy:2.89%, batch: 27/223
Epoch 1, train accuracy:3.01%, batch: 28/223
Epoch 1, train accuracy:3.12%, batch: 29/223
Epoch 1, train accuracy:3.12%, batch: 30/223
Epoch 1, train accuracy:3.12%, batch: 31/223
Epoch 1, train accuracy:3.12%, batch: 32/223
Epoch 1, train accuracy:3.12%, batch: 33/223
Epoch 1, train accuracy:3.12%, batch: 34/223
Epoch 1, train accuracy:3.12%, batch: 35/223
Epoch 1, train accuracy:3.12%, batch: 36/223
Epoch 1, train accuracy:3.12%, batch: 37/223
Epoch 1, train accuracy:3.12%, batch: 38/223
Epoch 1, train accuracy:3.53%, batch: 39/223
Epoch 1, train accuracy:3.91%, batch: 40/223
Epoch 1, train accuracy:4.27%, batch: 41/223
Epoch 1, train accuracy:4.61%, batch: 42/223
Epoch 1, train accuracy:4.94%, batch: 43/223
Epoch 1, train accuracy:5.26%, batch: 44/223
Epoch 1, train accuracy:5.56%, batch: 45/223
Epoch 1, train accuracy:5.84%, batch: 46/223
Epoch 1, train accuracy:6.12%, batch: 47/223
Epoch 1, train accuracy:6.38%, batch: 48/223
Epoch 1, train accuracy:6.63%, batch: 49/223
Epoch 1, train accuracy:6.88%, batch: 50/223
Epoch 1, train accuracy:7.11%, batch: 51/223
Epoch 1, train accuracy:7.33%, batch: 52/223
Epoch 1, train accuracy:7.55%, batch: 53/223
Epoch 1, train accuracy:7.75%, batch: 54/223
Epoch 1, train accuracy:7.95%, batch: 55/223
Epoch 1, train accuracy:8.15%, batch: 56/223
Epoch 1, train accuracy:8.33%, batch: 57/223
Epoch 1, train accuracy:8.51%, batch: 58/223
Epoch 1, train accuracy:8.69%, batch: 59/223
Epoch 1, train accuracy:8.85%, batch: 60/223
Epoch 1, train accuracy:9.02%, batch: 61/223
Epoch 1, train accuracy:9.17%, batch: 62/223
Epoch 1, train accuracy:9.33%, batch: 63/223
Epoch 1, train accuracy:9.47%, batch: 64/223
Epoch 1, train accuracy:9.62%, batch: 65/223
Epoch 1, train accuracy:9.75%, batch: 66/223
Epoch 1, train accuracy:9.89%, batch: 67/223
Epoch 1, train accuracy:10.02%, batch: 68/223
Epoch 1, train accuracy:10.14%, batch: 69/223
Epoch 1, train accuracy:10.27%, batch: 70/223
Epoch 1, train accuracy:10.39%, batch: 71/223
Epoch 1, train accuracy:10.50%, batch: 72/223
Epoch 1, train accuracy:10.62%, batch: 73/223
Epoch 1, train accuracy:10.73%, batch: 74/223
Epoch 1, train accuracy:10.83%, batch: 75/223
Epoch 1, train accuracy:10.94%, batch: 76/223
Epoch 1, train accuracy:11.04%, batch: 77/223
Epoch 1, train accuracy:11.14%, batch: 78/223
Epoch 1, train accuracy:11.23%, batch: 79/223
Epoch 1, train accuracy:11.33%, batch: 80/223
Epoch 1, train accuracy:11.42%, batch: 81/223
Epoch 1, train accuracy:11.51%, batch: 82/223
Epoch 1, train accuracy:11.60%, batch: 83/223
Epoch 1, train accuracy:11.68%, batch: 84/223
Epoch 1, train accuracy:11.76%, batch: 85/223
Epoch 1, train accuracy:11.85%, batch: 86/223
Epoch 1, train accuracy:11.93%, batch: 87/223
Epoch 1, train accuracy:12.00%, batch: 88/223
Epoch 1, train accuracy:12.08%, batch: 89/223
Epoch 1, train accuracy:12.15%, batch: 90/223
Epoch 1, train accuracy:12.23%, batch: 91/223
Epoch 1, train accuracy:12.30%, batch: 92/223
Epoch 1, train accuracy:12.37%, batch: 93/223
Epoch 1, train accuracy:12.43%, batch: 94/223
Epoch 1, train accuracy:12.50%, batch: 95/223
Epoch 1, train accuracy:12.57%, batch: 96/223
Epoch 1, train accuracy:12.63%, batch: 97/223
Epoch 1, train accuracy:12.69%, batch: 98/223
Epoch 1, train accuracy:12.75%, batch: 99/223
Epoch 1, train accuracy:12.81%, batch: 100/223
Epoch 1, train accuracy:12.87%, batch: 101/223
Epoch 1, train accuracy:12.93%, batch: 102/223
Epoch 1, train accuracy:12.99%, batch: 103/223
Epoch 1, train accuracy:13.04%, batch: 104/223
Epoch 1, train accuracy:13.10%, batch: 105/223
Epoch 1, train accuracy:13.15%, batch: 106/223
Epoch 1, train accuracy:13.20%, batch: 107/223
Epoch 1, train accuracy:13.25%, batch: 108/223
Epoch 1, train accuracy:13.30%, batch: 109/223
Epoch 1, train accuracy:13.35%, batch: 110/223
Epoch 1, train accuracy:13.40%, batch: 111/223
Epoch 1, train accuracy:13.45%, batch: 112/223
Epoch 1, train accuracy:13.38%, batch: 113/223
Epoch 1, train accuracy:13.32%, batch: 114/223
Epoch 1, train accuracy:13.26%, batch: 115/223
Epoch 1, train accuracy:13.20%, batch: 116/223
Epoch 1, train accuracy:13.14%, batch: 117/223
Epoch 1, train accuracy:13.08%, batch: 118/223
Epoch 1, train accuracy:13.03%, batch: 119/223
Epoch 1, train accuracy:12.97%, batch: 120/223
Epoch 1, train accuracy:12.91%, batch: 121/223
Epoch 1, train accuracy:12.86%, batch: 122/223
Epoch 1, train accuracy:12.83%, batch: 123/223
Epoch 1, train accuracy:12.80%, batch: 124/223
Epoch 1, train accuracy:12.78%, batch: 125/223
Epoch 1, train accuracy:12.75%, batch: 126/223
Epoch 1, train accuracy:12.72%, batch: 127/223
Epoch 1, train accuracy:12.70%, batch: 128/223
Epoch 1, train accuracy:12.67%, batch: 129/223
Epoch 1, train accuracy:12.64%, batch: 130/223
Epoch 1, train accuracy:12.62%, batch: 131/223
Epoch 1, train accuracy:12.59%, batch: 132/223
Epoch 1, train accuracy:12.57%, batch: 133/223
Epoch 1, train accuracy:12.55%, batch: 134/223
Epoch 1, train accuracy:12.52%, batch: 135/223
Epoch 1, train accuracy:12.50%, batch: 136/223
Epoch 1, train accuracy:12.48%, batch: 137/223
Epoch 1, train accuracy:12.45%, batch: 138/223
Epoch 1, train accuracy:12.43%, batch: 139/223
Epoch 1, train accuracy:12.39%, batch: 140/223
Epoch 1, train accuracy:12.34%, batch: 141/223
